Brand;Price;Model;Year;Odometer;Transmission;Fuel;Horse_Power;Engine
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
chery;2339500;tiggo 8;2024;None;автомат;бензин;147;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
jetour;3999000;;2024;None;автомат;бензин;245;2.0
jac;2850000;t8;2024;None;механика;бензин;204;2.4
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
chery;2609000;tiggo 7 pro max;2024;None;автомат;бензин;147;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
chery;2339500;tiggo 8;2024;None;автомат;бензин;147;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
chery;2339500;tiggo 8;2024;None;автомат;бензин;147;1.5
;1894990;;2024;None;автомат;бензин;150;1.5
changan;3348900;uni-k;2024;None;автомат;бензин;226;2.0
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
chery;2339500;tiggo 8;2024;None;автомат;бензин;147;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
chery;2339500;tiggo 8;2024;None;автомат;бензин;147;1.5
chery;2339500;tiggo 8;2024;None;автомат;бензин;147;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
jetour;3999000;;2024;None;автомат;бензин;245;2.0
chery;1780000;tiggo 4 pro;2024;None;автомат;бензин;113;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
haval;2118000;jolion;2024;None;автомат;бензин;150;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
changan;3348900;uni-k;2024;None;автомат;бензин;226;2.0
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
changan;3348900;uni-k;2024;None;автомат;бензин;226;2.0
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
haval;2118000;jolion;2024;None;автомат;бензин;150;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
changan;2250000;uni-t;2024;None;автомат;бензин;167;1.5
lada;1039000;niva;2024;1285;механика;бензин;83;1.7
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
haval;2118000;jolion;2024;None;автомат;бензин;150;1.5
changan;2250000;uni-t;2024;None;автомат;бензин;167;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
;1894990;;2024;None;автомат;бензин;150;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
;1939990;;2024;None;автомат;бензин;150;1.5
haval;2118000;jolion;2024;None;автомат;бензин;150;1.5
changan;1280000;alsvin;2024;None;автомат;бензин;98;1.5
chery;1780000;tiggo 4 pro;2024;None;автомат;бензин;113;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
;2749900;;2024;None;автомат;бензин;186;1.6
haval;2248000;jolion;2024;None;автомат;бензин;150;1.5
;1894990;;2024;None;автомат;бензин;150;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
chery;2339500;tiggo 8;2024;None;автомат;бензин;147;1.5
haval;2098000;jolion;2024;None;автомат;бензин;143;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
haval;2150000;jolion;2024;None;автомат;бензин;143;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
haval;2118000;jolion;2024;None;автомат;бензин;150;1.5
geely;2314990;atlas;2024;None;автомат;бензин;177;1.5
geely;2566990;atlas;2024;None;автомат;бензин;177;1.5
haval;2248000;jolion;2024;None;автомат;бензин;150;1.5
geely;2466990;atlas;2024;None;автомат;бензин;177;1.5
